"","Hood_Name","count"
"1","Waterfront Communities-The Island",36
"2","Bay Street Corridor",33
"3","Church-Yonge Corridor",19
"4","Trinity-Bellwoods",18
"5","Kensington-Chinatown",16
"6","Dufferin Grove",15
"7","Dovercourt-Wallace Emerson-Junction",14
"8","Annex",13
"9","Little Portugal",13
"10","South Riverdale",13
"11","University",12
"12","Wychwood",12
"13","Cabbagetown-South St.Jamestown",11
"14","Moss Park",10
"15","South Parkdale",9
"16","Niagara",8
"17","Palmerston-Little Italy",8
"18","Birchcliffe-Cliffside",7
"19","Clairlea-Birchmount",7
"20","Keelesdale-Eglinton West",7
"21","Roncesvalles",7
"22","Rosedale-Moore Park",7
"23","The Beaches",7
"24","West Hill",7
"25","Greenwood-Coxwell",6
"26","Islington-City Centre West",6
"27","Regent Park",6
"28","Tam O'Shanter-Sullivan",6
"29","High Park-Swansea",5
"30","Junction",5
"31","Milliken",5
"32","New Toronto",5
"33","West Humber-Clairville",5
"34","Woburn",5
"35","Yonge-St.Clair",5
"36","Agincourt South-Malvern West",4
"37","Banbury-Don Mills",4
"38","Bendale",4
"39","Blake-Jones",4
"40","Casa Loma",4
"41","Centennial Scarborough",4
"42","Corsa Italia-Davenport",4
"43","Danforth Village East York",4
"44","Downsview-Roding-CFB",4
"45","Lawrence Park South",4
"46","Mount Pleasant East",4
"47","North Riverdale",4
"48","Oakwood-Vaughan",4
"49","Parkwoods-Donalda",4
"50","Rockliffe-Smythe",4
"51","St.Andrew-Windfields",4
"52","Wexford/Maryvale",4
"53","Woodbine Corridor",4
"54","York University Heights",4
"55","Bridle Path-Sunnybrook-York Mills",3
"56","Brookhaven-Amesbury",3
"57","Clanton Park",3
"58","Dorset Park",3
"59","East End Danforth",3
"60","Glenfield-Jane Heights",3
"61","Humbermede",3
"62","Humber Summit",3
"63","Kennedy Park",3
"64","Leaside-Bennington",3
"65","Malvern",3
"66","Mimico",3
"67","Old East York",3
"68","Rouge",3
"69","Steeles",3
"70","Stonegate-Queensway",3
"71","Weston",3
"72","Weston-Pellam Park",3
"73","Woodbine-Lumsden",3
"74","Agincourt North",2
"75","Bayview Village",2
"76","Bedford Park-Nortown",2
"77","Black Creek",2
"78","Broadview North",2
"79","Cliffcrest",2
"80","Edenbridge-Humber Valley",2
"81","Henry Farm",2
"82","High Park North",2
"83","Hillcrest Village",2
"84","Ionview",2
"85","Mount Pleasant West",2
"86","Newtonbrook West",2
"87","North St.Jamestown",2
"88","Oakridge",2
"89","O'Connor-Parkview",2
"90","Pelmo Park-Humberlea",2
"91","Playter Estates-Danforth",2
"92","Rexdale-Kipling",2
"93","Runnymede-Bloor West Village",2
"94","Scarborough Village",2
"95","Thistletown-Beaumond Heights",2
"96","Willowdale East",2
"97","Yonge-Eglinton",2
"98","Alderwood",1
"99","Bathurst Manor",1
"100","Beechborough-Greenbrook",1
"101","Briar Hill-Belgravia",1
"102","Danforth Village Toronto",1
"103","Don Valley Village",1
"104","Eringate-Centennial-West Deane",1
"105","Etobicoke West Mall",1
"106","Forest Hill South",1
"107","Humewood-Cedarvale",1
"108","Kingsview Village-The Westway",1
"109","Kingsway South",1
"110","L'Amoureaux",1
"111","Mount Dennis",1
"112","Newtonbrook East",1
"113","Pleasant View",1
"114","Princess-Rosethorn",1
"115","Thorncliffe Park",1
"116","Willowdale West",1
"117","Willowridge-Martingrove-Richview",1
"118","Yorkdale-Glen Park",1
